partition;instance
0;6
0;67
0;73
0;116
0;135
0;148
0;153
0;159
0;244
0;246
0;252
0;297
0;302
0;303
0;314
0;332
0;784
0;827
0;1004
0;1066
0;1092
0;1138
0;1170
0;1190
0;1288
0;1602
0;1603
0;1606
0;1608
0;1611
0;1613
0;1622
0;1623
0;1624
0;1625
0;1628
0;1635
0;1644
0;1645
0;1651
0;1658
0;1662
0;1663
0;1665
0;1670
0;1675
0;1676
0;1682
0;1683
0;1690
0;1691
0;1696
0;1698
0;1702
0;1704
0;1707
0;1710
0;1712
0;1714
0;1716
0;1723
0;1727
0;1729
0;1732
0;1734
0;1735
0;1736
0;1738
0;1740
0;1744
0;1745
0;1746
0;1748
0;1752
0;1755
0;1757
0;1767
0;1768
0;1769
0;1770
0;1772
0;1773
0;1777
0;1780
0;1783
0;1785
0;1789
0;1790
0;1796
0;1798
1;202
1;204
1;205
1;207
1;209
1;211
1;212
1;213
1;215
1;216
1;217
1;218
1;219
1;223
1;224
1;225
1;226
1;227
1;228
1;230
1;231
1;232
1;233
1;234
1;235
1;236
1;237
1;238
1;239
1;240
1;241
1;242
1;245
1;247
1;248
1;250
1;253
1;255
1;257
1;258
1;259
1;261
1;262
1;264
1;268
1;269
1;270
1;271
1;275
1;276
1;277
1;279
1;280
1;281
1;283
1;284
1;285
1;286
1;287
1;288
1;289
1;290
1;293
1;294
1;295
1;298
1;300
1;301
1;304
1;305
1;306
1;309
1;310
1;311
1;312
1;315
1;316
1;317
1;319
1;323
1;325
1;326
1;327
1;329
1;330
1;333
1;334
1;335
1;336
1;337
1;338
1;339
1;341
1;342
1;343
1;346
1;347
1;349
1;350
1;351
1;352
1;354
1;355
1;356
1;357
1;359
1;360
1;362
1;363
1;367
1;369
1;371
1;373
1;374
1;375
1;376
1;377
1;383
1;385
1;387
1;389
1;391
1;392
1;393
1;394
1;395
1;397
1;400
1;611
1;615
1;624
1;627
1;630
1;641
1;642
1;643
1;644
1;654
1;656
1;657
1;664
1;666
1;667
1;673
1;675
1;680
1;682
1;688
1;690
1;702
1;722
1;733
1;739
1;740
1;743
1;747
1;750
1;754
1;757
1;761
1;765
1;766
1;768
1;774
1;779
1;789
1;791
1;797
1;798
1;804
1;883
1;958
1;975
1;1062
1;1110
1;1142
1;1158
1;1439
1;1472
1;1544
1;1561
1;1668
1;1726
1;1801
1;1802
1;1808
1;1809
1;1818
1;1820
1;1824
1;1827
1;1830
1;1835
1;1836
1;1837
1;1849
1;1851
1;1855
1;1860
1;1863
1;1864
1;1866
1;1868
1;1870
1;1875
1;1880
1;1884
1;1888
1;1896
1;1900
