partition;instance
0;10
0;13
0;15
0;23
0;25
0;59
0;117
0;118
0;121
0;136
0;137
0;140
0;141
0;147
0;157
0;175
0;204
0;205
0;209
0;218
0;219
0;229
0;234
0;235
0;239
0;257
0;258
0;264
0;265
0;269
0;271
0;274
0;279
0;281
0;285
0;287
0;290
0;292
0;295
0;296
0;303
0;312
0;315
0;327
0;330
0;340
0;341
0;342
0;344
0;347
0;356
0;357
0;369
0;370
0;373
0;374
0;375
0;379
0;382
0;387
0;389
0;393
0;398
0;400
0;569
0;609
0;612
0;619
0;650
0;655
0;661
0;687
0;688
0;706
0;738
0;752
0;755
0;769
0;776
0;777
0;779
0;815
0;827
0;857
0;860
0;869
0;906
0;913
0;914
0;931
0;935
0;956
0;967
0;978
0;998
0;1000
0;1003
0;1012
0;1022
0;1024
0;1027
0;1034
0;1040
0;1049
0;1053
0;1055
0;1057
0;1064
0;1079
0;1080
0;1085
0;1098
0;1133
0;1143
0;1146
0;1165
0;1195
0;1198
0;1216
0;1241
0;1288
0;1297
0;1318
0;1324
0;1330
0;1340
0;1603
0;1604
0;1606
0;1611
0;1617
0;1619
0;1624
0;1626
0;1630
0;1634
0;1636
0;1638
0;1640
0;1644
0;1645
0;1650
0;1652
0;1655
0;1657
0;1661
0;1664
0;1668
0;1675
0;1676
0;1677
0;1680
0;1681
0;1688
0;1692
0;1696
0;1697
0;1699
0;1700
0;1703
0;1704
0;1706
0;1707
0;1709
0;1711
0;1719
0;1721
0;1722
0;1725
0;1728
0;1733
0;1737
0;1739
0;1742
0;1743
0;1751
0;1752
0;1753
0;1754
0;1756
0;1757
0;1758
0;1759
0;1764
0;1766
0;1775
0;1777
0;1781
0;1784
0;1785
0;1794
0;1797
0;1800
0;1850
0;1871
0;1873
0;1885
0;1886
0;1913
0;1919
1;1
1;6
1;7
1;9
1;20
1;21
1;26
1;27
1;28
1;31
1;35
1;36
1;37
1;41
1;43
1;44
1;45
1;46
1;47
1;48
1;49
1;53
1;57
1;58
1;62
1;63
1;64
1;65
1;66
1;71
1;75
1;76
1;77
1;79
1;82
1;83
1;85
1;87
1;89
1;91
1;106
1;108
1;109
1;116
1;119
1;120
1;124
1;125
1;126
1;130
1;133
1;138
1;144
1;146
1;150
1;152
1;153
1;154
1;160
1;162
1;166
1;167
1;169
1;170
1;183
1;185
1;186
1;188
1;192
1;193
1;195
1;198
1;211
1;230
1;233
1;236
1;237
1;241
1;256
1;275
1;297
1;305
1;311
1;314
1;317
1;354
1;378
1;397
1;604
1;608
1;615
1;618
1;636
1;658
1;667
1;678
1;732
1;734
1;748
1;759
1;838
1;873
1;1045
1;1075
1;1083
1;1094
1;1107
1;1122
1;1123
1;1201
1;1204
1;1224
1;1229
1;1236
1;1237
1;1243
1;1261
1;1270
1;1275
1;1285
1;1296
1;1300
1;1303
1;1306
1;1307
1;1346
1;1353
1;1357
1;1373
1;1377
1;1385
1;1394
1;1396
1;1601
1;1605
1;1607
1;1608
1;1610
1;1612
1;1614
1;1615
1;1618
1;1620
1;1621
1;1623
1;1627
1;1628
1;1629
1;1631
1;1632
1;1635
1;1637
1;1639
1;1641
1;1642
1;1646
1;1648
1;1649
1;1653
1;1654
1;1656
1;1658
1;1659
